Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location,Geometry Point
10846,Square Picnic Table,Wood,Aggregate,81 STREET NW,6320,IDYLWYLDE,Ward Metis,53.52328786931638,-113.45157083212658,"(53.52328786931638, -113.45157083212658)",POINT (-113.45157083212658 53.52328786931638)
19102,Square Picnic Table,Wood,Aggregate,42 AVENUE NW,6760,TWEDDLE PLACE,Ward Karhiio,53.47717778004791,-113.45638184763084,"(53.47717778004791, -113.45638184763084)",POINT (-113.45638184763084 53.47717778004791)
15125,Square Picnic Table,Wood,Metal,108A STREET NW,5170,EMPIRE PARK,Ward papastew,53.48598782882411,-113.51079463820228,"(53.48598782882411, -113.51079463820228)",POINT (-113.51079463820228 53.48598782882411)
3129,Square Picnic Table,Wood,Metal,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,Ward papastew,53.527054932823,-113.50919530345142,"(53.527054932823, -113.50919530345142)",POINT (-113.50919530345142 53.527054932823)
83218,Square Picnic Table,Wood,Metal,HERMITAGE PARK ROAD NW,2630,RIVER VALLEY HERMITAGE,Ward Dene,53.58391675640636,-113.36919584236544,"(53.58391675640636, -113.36919584236544)",POINT (-113.36919584236544 53.58391675640636)
4941,Round Picnic Table,Metal,Metal,83 AVENUE NW,4140,ELMWOOD,Ward sipiwiyiniwak,53.51585862577698,-113.60615502675536,"(53.51585862577698, -113.60615502675536)",POINT (-113.60615502675536 53.51585862577698)
10701,Other Table,Composite,Metal,92 AVENUE NW,6040,BONNIE DOON,Ward Metis,53.52784245278216,-113.47075155826579,"(53.52784245278216, -113.47075155826579)",POINT (-113.47075155826579 53.52784245278216)
3712,Square Picnic Table,Wood,Aggregate,95 STREET NW,2450,LAGO LINDO,Ward tastawiyiniwak,53.63439276566274,-113.48765182690954,"(53.63439276566274, -113.48765182690954)",POINT (-113.48765182690954 53.63439276566274)
8853,Square Picnic Table,Wood,Aggregate,111 STREET NW,3030,BATURYN,Ward tastawiyiniwak,53.634224985574384,-113.51377762740627,"(53.634224985574384, -113.51377762740627)",POINT (-113.51377762740627 53.634224985574384)
83219,Square Picnic Table,Wood,Metal,HERMITAGE PARK ROAD NW,2630,RIVER VALLEY HERMITAGE,Ward Dene,53.586715635885,-113.37426313566749,"(53.586715635885, -113.37426313566749)",POINT (-113.37426313566749 53.586715635885)
60272,Square Picnic Table,Wood,Wood,FORT EDMONTON PARK ROAD NW,5401,RIVER VALLEY FORT EDMONTON,Ward pihesiwin,53.50266488873557,-113.57250527518198,"(53.50266488873557, -113.57250527518198)",POINT (-113.57250527518198 53.50266488873557)
11450,Square Picnic Table,Wood,Aggregate,89 AVENUE NW,4310,MEADOWLARK PARK,Ward sipiwiyiniwak,53.525431723703534,-113.5969783926818,"(53.525431723703534, -113.5969783926818)",POINT (-113.5969783926818 53.525431723703534)
3607,Square Picnic Table,Wood,Aggregate,KIRKNESS ROAD NW,2430,KIRKNESS,Ward Dene,53.61218596761099,-113.38536729564889,"(53.61218596761099, -113.38536729564889)",POINT (-113.38536729564889 53.61218596761099)
23767,Square Picnic Table,Wood,Aggregate,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.50900675863771,-113.55631400823111,"(53.50900675863771, -113.55631400823111)",POINT (-113.55631400823111 53.50900675863771)
52304,Square Picnic Table,Wood,Aggregate,EDWARDS DRIVE SW,6211,ELLERSLIE,Ward Karhiio,53.429057886146026,-113.45884001549557,"(53.429057886146026, -113.45884001549557)",POINT (-113.45884001549557 53.429057886146026)
36489,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Metis,53.55759889405291,-113.40559134812854,"(53.55759889405291, -113.40559134812854)",POINT (-113.40559134812854 53.55759889405291)
